,A,P,C,LK,WK,AC,L,Ui0,Ui1,Ui2,Cluster Sandard,Cluster Test,Cluster FCM
196,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,0.8678424878023422,0.1062690715343304,0.025888440663327374,3,1.0,3
197,13.37,13.78,0.8849,5.32,3.128,4.67,5.091,0.6761911305427262,0.280602785352247,0.04320608410502681,3,1.0,3
198,12.62,13.67,0.8481,5.41,2.911,3.306,5.231,0.6264560692756248,0.33699147846726607,0.03655245225710899,3,1.0,3
199,12.76,13.38,0.8964,5.073,3.155,2.8280000000000003,4.83,0.4965579553222104,0.4569195661863,0.0465224784914897,3,1.0,3
200,12.38,13.44,0.8609,5.218999999999999,2.989,5.472,5.045,0.9298050064538596,0.05608311445790631,0.014111879088234138,3,1.0,3
201,12.67,13.32,0.8977,4.984,3.135,2.3,4.745,0.43156189316766813,0.5116335093664091,0.05680459746592281,3,2.0,1
202,11.18,12.72,0.868,5.0089999999999995,2.81,4.051,4.828,0.908581391646601,0.07427422829792371,0.017144380055475302,3,1.0,3
203,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,0.6299500866550689,0.2420950110620007,0.12795490228293036,3,1.0,3
204,12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001,0.8798555032982759,0.10458266989214496,0.015561826809579333,3,1.0,3
205,12.19,13.2,0.8783,5.1370000000000005,2.9810000000000003,3.6310000000000002,4.87,0.8471967101214088,0.13242994569367522,0.020373344184915976,3,1.0,3
206,11.23,12.88,0.8511,5.14,2.795,4.325,5.003,0.9456126916049997,0.044059522905415614,0.010327785489584695,3,1.0,3
207,13.2,13.66,0.8883,5.236000000000001,3.2319999999999998,8.315,5.056,0.599456638283743,0.2595348844705973,0.14100847724565976,3,1.0,3
208,11.84,13.21,0.8521,5.175,2.8360000000000003,3.5980000000000003,5.044,0.8738610237611704,0.10770526753365336,0.01843370870517628,3,1.0,3
209,12.3,13.34,0.8684,5.242999999999999,2.9739999999999998,5.6370000000000005,5.063,0.9228868332096736,0.06081164568159564,0.01630152110873086,3,1.0,3
